supermarket,unit_price,unit,names,date,category,own_brand,ASDA_price,Morrisons_price,Tesco_price
Sains,69.0,kg,Deep Heat Muscle Rescue Heat Spray,20240129,health_products,False,69.0,81.4,81.4
Sains,160.0,l,Durex Play Silicone Based Perfect Glide Lubricant Gel,20240129,health_products,False,215.0,210.0,215.0
Sains,4.3,l,Bundaberg Ginger Beer,20240129,drinks,False,3.2,4.1,4.05
Sains,5.53,kg,Sharwood's Medium Egg Noodles,20240129,food_cupboard,False,8.81,8.85,8.85
Sains,37.5,kg,Lindt Gold Bunny White Chocolate,20240129,food_cupboard,False,25.0,37.5,32.5
Sains,8.5,kg,Lurpak Unsalted Butter,20240129,fresh_food,False,10.75,10.75,10.75
Sains,7.2,l,Yakult Original,20240129,fresh_food,False,7.1,5.6,7.12
Sains,3.95,kg,Clover Light Spread,20240129,fresh_food,False,4.8,3.5,4.8
Sains,2.7,l,Naked Strawberry & Banana Smoothie,20240129,drinks,False,4.0,7.8,5.1
Sains,3.2,l,Tango Orange Original Bottle,20240129,drinks,False,3.1,1.0,2.05
Sains,11.43,kg,Goodfella's Gluten Free Margherita Pizza,20240129,free-from,False,12.2,12.2,11.43
Sains,3.55,l,Shaken Udder Vanillalicious Milkshake,20240129,free-from,False,3.3,4.82,
Sains,57.65,kg,Savlon Antiseptic Cream,20240129,health_products,False,48.0,73.0,42.0
Sains,7.5,kg,Betty Crocker Chocolate Fudge Icing,20240129,food_cupboard,False,7.5,6.2,7.5
Sains,5.9,kg,Ambrosia Light Rice Pudding,20240129,food_cupboard,False,5.0,,6.3
Sains,5.433333333333334,l,Red Bull Energy Drink,20240129,drinks,False,4.3,5.1,4.8
Sains,8.33,kg,Quorn Vegetarian Steak Strips,20240129,free-from,False,8.33,,6.0
Sains,56.06666666666666,kg,Kiddylicious Veggie Straws,20240129,baby_products,False,58.3,45.8,64.58500000000001
Sains,28.6,l,Cetaphil Gentle Skin Cleanser,20240129,health_products,False,31.8,31.8,46.6
Sains,12.5,kg,Colman's Horseradish Sauce,20240129,food_cupboard,False,8.8,12.5,12.5
Sains,10.3,kg,Princes Reduced Salt Corned Beef,20240129,food_cupboard,False,9.6,8.8,10.3
Sains,8.46,kg,Mr Kipling Manor House Cake,20240129,bakery,False,2.75,3.0,8.2
Sains,12.35,kg,Bisto Reduced Salt Gravy Granules,20240129,fresh_food,False,14.7,14.7,13.7
Sains,2.24,l,Fanta Orange,20240129,drinks,False,1.0,1.0,2.24
Sains,5.8,kg,Blue Dragon Sweet & Sour Stir Fry Sauce,20240129,free-from,False,7.9,7.9,7.9
Sains,3.4,kg,Yutaka Sushi Rice,20240129,food_cupboard,False,4.4,3.4,4.4
Sains,2.6555555555555563,l,Coca-Cola Zero Sugar,20240129,fresh_food,False,3.4,1.0,2.4
Sains,10.3,kg,Pukka Pepperoni Pizza Slice,20240129,fresh_food,False,10.3,10.3,10.3
Sains,9.2,l,Bombay Sapphire Gin & Tonic,20240129,drinks,False,10.0,10.0,9.6
Sains,8.77,kg,Ben's Plant Powered Spicy Lentil Stew,20240129,free-from,False,6.14,8.8,8.77
Sains,11.933333333333332,kg,Princes Corned Beef,20240129,food_cupboard,False,12.5,8.8,12.166666666666664
Sains,3.616666666666666,kg,Birds Eye Garden Peas,20240129,frozen,False,2.31,4.27,3.526666666666667
Sains,14.7,kg,Walkers Salt & Vinegar Multipack Crisps,20240129,food_cupboard,False,13.3,14.7,13.0
Sains,10.6,kg,Quaker Oat So Simple Original Porridge Sachets,20240129,food_cupboard,False,13.0,12.9,13.0
Sains,8.2,l,Haagen-Dazs Belgian Chocolate Ice Cream,20240129,food_cupboard,False,8.1,11.3,11.7
Sains,11.0,kg,Colman's Bramley Apple Sauce,20240129,food_cupboard,False,7.7,11.0,11.0
Sains,21.5,kg,Properchips Barbecue Lentil Chips,20240129,food_cupboard,False,27.1,23.5,50.0
Sains,3.0,l,Monster Energy Drink,20240129,fresh_food,False,2.4,3.6,3.25
Sains,17.5,kg,Peperami Pizza Buns Original,20240129,fresh_food,False,14.1,15.6,17.2
Sains,4.9,l,Tropicana Pure Orange & Mango Fruit Juice,20240129,drinks,False,2.8,2.0,2.7
Sains,4.0,kg,Vitalite Dairy Free Spread,20240129,free-from,False,3.4,3.0,4.0
Sains,1.6833333333333331,kg,Laila Basmati Rice,20240129,free-from,False,1.8,1.4,2.1666666666666665
Sains,4.22,kg,Birds Eye Supersweet Sweetcorn,20240129,frozen,False,4.22,4.45,4.45
Sains,13.580000000000002,kg,Cadbury Dairy Milk Chocolate Bar,20240129,food_cupboard,False,13.6,11.1,11.45
Sains,10.15,l,Lea & Perrins Worcestershire Sauce,20240129,food_cupboard,False,11.3,11.3,10.5
Sains,5.6000000000000005,l,Heinz Seriously Good Light Mayonnaise,20240129,food_cupboard,False,4.4,4.9,4.9
Sains,5.0,l,Robinsons Crushed Lime & Mint Fruit Cordial,20240129,drinks,False,6.0,6.0,6.0
Sains,1.4,l,Pepsi Max Lime No Sugar Cola Cans,20240129,drinks,False,1.3,1.5,
Sains,2.1,l,Fruit Shoot Summer Fruits Kids Juice Drink,20240129,drinks,False,1.6,1.9,2.35
Sains,26.665,l,Covonia Dry & Tickly Cough Linctus,20240129,health_products,False,,31.7,26.65
Sains,3.03,kg,McCain Crispy French Fries,20240129,frozen,False,3.07,2.5,3.315
Sains,11.666666666666664,kg,Walkers Classic Variety Multipack Crisps,20240129,food_cupboard,False,13.3,10.5,10.65
Sains,9.1,kg,Maynards Bassetts Jelly Babies,20240129,food_cupboard,False,7.6,9.1,9.1
Sains,26.0,kg,Quorn Vegan Chicken Free Slices,20240129,fresh_food,False,21.9,26.0,26.0
Sains,3.5,l,Pepsi Max Cherry No Sugar Cola Bottle,20240129,drinks,False,3.1,1.0,1.7666666666666668
Sains,8.2,l,Haagen-Dazs Salted Caramel Ice Cream,20240129,free-from,False,8.1,11.3,11.7
Sains,66.0,l,Bulldog Sensitive Moisturiser,20240129,free-from,False,44.0,66.0,70.0
Sains,5.8,l,Johnson's Soothing Vapour Bath,20240129,baby_products,False,8.8,5.7,8.8
Sains,3.5,l,Diet Pepsi Cola Bottle,20240129,fresh_food,False,3.1,1.0,0.9
Sains,4.35,kg,Dolmio Bolognese Smooth Tomato Pasta Sauce,20240129,food_cupboard,False,3.7,5.0,4.3
Sains,16.5,kg,Bisto Best Pork Gravy Granules,20240129,food_cupboard,False,13.0,13.0,17.8
Sains,3.1,kg,Cofresh London Mix,20240129,food_cupboard,False,4.6,4.7,3.0
Sains,10.0,kg,Fullgreen Riced Cauliflower & Broccoli,20240129,free-from,False,5.0,9.95,10.0
Sains,5.5,kg,Arla Protein Strawberry Yogurt,20240129,fresh_food,False,5.5,7.2,6.2
Sains,9.52,kg,Pukka Vegan Chicken & Mushroom Pie,20240129,free-from,False,9.5,9.5,9.5
Sains,10.0,kg,Anchor Salted Butter,20240129,free-from,False,8.0,8.0,10.0
Sains,4.25,unit,Cherry Blossom Shoe Care Brush Set,20240129,household,False,4.5,,4.4
Sains,8.5,l,Bottlegreen Elderflower Cordial,20240129,drinks,False,8.0,6.8,8.5
Sains,3.7,l,Ocean Spray Cranberry Classic Juice Drink,20240129,drinks,False,1.8,1.0,1.65
Sains,2.2,l,Schweppes Pink Soda,20240129,drinks,False,1.7,1.3,1.8
Sains,3.8,kg,Tilda Pure Basmati Rice,20240129,free-from,False,4.0,2.6,4.35
Sains,7.6,kg,Deliciously Ella Nutty Granola,20240129,free-from,False,7.9,7.6,10.0
Sains,0.3,unit,Maltesers Cake Bars,20240129,bakery,False,0.4,0.3,0.46
Sains,10.8,kg,Ginsters Chicken & Bacon Pasty,20240129,fresh_food,False,6.9,,10.8
Sains,2.25,l,Fanta Lemon,20240129,fresh_food,False,1.4,1.0,1.9333333333333336
Sains,2.9,l,Monster Energy Drink Pacific Punch,20240129,drinks,False,3.6,3.0,2.9
Sains,1.2999999999999998,l,Fanta Orange Zero,20240129,free-from,False,3.4,1.0,2.2
Sains,4.4,l,Blue Dragon Coconut Milk,20240129,free-from,False,6.2,6.2,6.25
Sains,11.1,l,Halo Top Sea Salt Caramel Ice Cream,20240129,frozen,False,7.4,7.93,11.4
Sains,3.0,kg,Heinz Lentil Soup,20240129,food_cupboard,False,4.2,4.2,4.2
