supermarket,unit_price,unit,names,date,category,own_brand,ASDA_price,Morrisons_price,Sains_price
Tesco,13.7,kg,Bisto Reduced Salt Gravy Granules,20240129,food_cupboard,False,14.7,14.7,12.35
Tesco,10.75,kg,Lurpak Unsalted Butter,20240129,fresh_food,False,10.75,10.75,8.5
Tesco,17.2,kg,Peperami Pizza Buns Original,20240129,fresh_food,False,14.1,15.6,17.5
Tesco,0.7,l,Schweppes Slimline Lemonade,20240129,drinks,False,0.7,0.7,2.0
Tesco,17.8,kg,Bisto Best Beef Gravy Granules,20240129,food_cupboard,False,13.0,13.0,13.35
Tesco,7.9,kg,Blue Dragon Hoisin & Garlic Stir Fry Sauce,20240129,food_cupboard,False,7.9,7.9,5.8
Tesco,19.4,kg,Knorr Chicken Stock Cubes,20240129,food_cupboard,False,23.8,18.8,15.0
Tesco,13.3,kg,Betty Crocker Tempting Chocolate Cake Mix,20240129,food_cupboard,False,7.06,5.89,7.1
Tesco,10.9,l,Napolina Olive Oil,20240129,food_cupboard,False,11.8,12.0,11.1
Tesco,35.0,kg,Cape Herb & Spice Rub Louisiana Cajun Seasoning,20240129,food_cupboard,False,25.0,34.9,25.0
Tesco,66.7,l,Colgate Total Advanced Deep Clean Toothpaste,20240129,health_products,False,40.0,33.3,33.3
Tesco,11.75,kg,Walkers Ready Salted Multipack Crisps,20240129,food_cupboard,False,13.3,14.7,14.7
Tesco,12.6,kg,Gressingham Duck Fat,20240129,food_cupboard,False,12.6,9.96,12.0
Tesco,4.35,kg,Tilda Pure Basmati Rice,20240129,food_cupboard,False,4.0,2.6,3.8
Tesco,8.8,kg,Arla Protein Chocolate Flavour Pudding,20240129,fresh_food,False,6.2,6.2,8.8
Tesco,1.7666666666666668,l,Pepsi Max Lime No Sugar Cola Bottle,20240129,drinks,False,3.1,1.0,3.5
Tesco,2.2,l,Fanta Fruit Twist,20240129,drinks,False,1.0,1.0,2.45
Tesco,4.4,kg,Heinz Seriously Good Mayonnaise,20240129,food_cupboard,False,6.75,4.4,5.95
Tesco,5.3,kg,Maggi Authentic Indian Tamarind Sauce,20240129,food_cupboard,False,4.1,4.1,5.3
Tesco,17.6,kg,Reese's Peanut Butter Creme Egg,20240129,food_cupboard,False,20.6,20.6,19.1
Tesco,8.85,kg,Sharwood's Fine Egg Noodles,20240129,food_cupboard,False,8.81,8.85,5.53
Tesco,2.4,l,Coca-Cola Zero Sugar,20240129,drinks,False,3.4,1.0,2.6555555555555563
Tesco,2.2,l,Fanta Orange Zero,20240129,drinks,False,3.4,1.0,1.2999999999999998
Tesco,14.63,l,Barossa Ink Shiraz,20240129,drinks,False,146.63,12.64,14.63
Tesco,15.4,kg,Dr. Oetker Liquid Glucose,20240129,food_cupboard,False,15.4,15.4,8.9
Tesco,30.0,kg,Peperami Firestick,20240129,fresh_food,False,22.5,27.5,29.9
Tesco,10.7,l,Bulldog Skincare Original Shower Gel,20240129,health_products,False,6.7,10.0,10.0
Tesco,8.5,l,Bottlegreen Elderflower Cordial,20240129,drinks,False,8.0,6.8,8.5
