supermarket,product,unit_price,year,month,day,weekday,total_sale
ASDA,Wagamama Katsu Curry Meal Kit,11.3,2024,1,29,0,1
ASDA,Blue Dragon Hoisin & Garlic Stir Fry Sauce,7.9,2024,1,29,0,1
ASDA,Betty Crocker Red Velvet Chocolate Cake Mix,7.06,2024,1,29,0,1
ASDA,Pukka Vegan Chicken & Mushroom Pie,9.5,2024,1,29,0,1
ASDA,French's Classic Yellow Mustard,10.2,2024,1,29,0,1
ASDA,Bisto Reduced Salt Gravy Granules,14.7,2024,1,29,0,1
ASDA,Peperami Chorizo,22.5,2024,1,29,0,1
ASDA,Fruit Shoot Apple Kids Juice Drink,1.6,2024,1,29,0,1
ASDA,Blue Dragon Chow Mein Stir Fry Sauce,7.9,2024,1,29,0,1
ASDA,Betty Crocker Peanut Butter Brownie Mix,8.6,2024,1,29,0,1
ASDA,Heinz Lentil & Bacon Soup,4.2,2024,1,29,0,1
ASDA,Aunt Bessie's Jam Roly Poly,6.3,2024,1,29,0,1
ASDA,Bisto Reduced Salt Chicken Gravy Granules,14.7,2024,1,29,0,1
ASDA,Cadbury Mini Eggs,12.35,2024,1,29,0,2
ASDA,Coca-Cola Zero Sugar,3.4,2024,1,29,0,1
ASDA,Heinz Spring Vegetable Soup,4.2,2024,1,29,0,1
ASDA,Ginsters Philly Cheese Steak Bake,8.5,2024,1,29,0,1
ASDA,Walkers Prawn Cocktail Multipack Crisps,13.3,2024,1,29,0,1
ASDA,Arla Protein Strawberry Yogurt,5.5,2024,1,29,0,1
ASDA,Arla Protein Blueberry Yogurt,5.5,2024,1,29,0,1
ASDA,Pepsi Max No Sugar Cola Bottle,3.1,2024,1,29,0,1
ASDA,Napolina Olive Oil,11.8,2024,1,29,0,2
ASDA,M&M's Milk Chocolate Bites Pouch Bag,13.2,2024,1,29,0,1
ASDA,Tropicana Pressed Apple Fruit Juice,2.8,2024,1,29,0,1
ASDA,Mr Muscle Oven Cleaner,13.33,2024,1,29,0,1
ASDA,Cetaphil Gentle Skin Cleanser,31.8,2024,1,29,0,1
ASDA,Onken Natural Set Yogurt,2.5,2024,1,29,0,1
ASDA,Knorr Chicken Stock Cubes,23.8,2024,1,29,0,1
ASDA,Bisto Best Pork Gravy Granules,13.0,2024,1,29,0,1
ASDA,Fruit Shoot Summer Fruits Kids Juice Drink,1.6,2024,1,29,0,1
ASDA,Innocent Apple Juice,3.3,2024,1,29,0,1
ASDA,Rustlers All Day Breakfast Sausage Muffin,8.06,2024,1,29,0,1
ASDA,Walkers Ready Salted Multipack Crisps,13.3,2024,1,29,0,1
ASDA,Ginsters Chicken & Mushroom Slice,11.5,2024,1,29,0,1
ASDA,Yeo Valley Organic Strawberry Yogurt,4.3,2024,1,29,0,1
ASDA,Maille Wholegrain Mustard,13.3,2024,1,29,0,1
ASDA,Filippo Berio Mild & Light Olive Oil,17.0,2024,1,29,0,1
ASDA,Ocean Spray Cranberry Classic Juice Drink,1.8,2024,1,29,0,1
ASDA,Felix Goody Bag Cat Treats Original Mix,20.0,2024,1,29,0,1
ASDA,Maggi Authentic Indian Tamarind Sauce,4.1,2024,1,29,0,1
ASDA,Bulldog Skincare Original Shower Gel,6.7,2024,1,29,0,1
ASDA,Relentless Raspberry Zero Energy Drink,2.5,2024,1,29,0,1
