supermarket,unit_price,unit,names,date,category,own_brand,Morrisons_price,Tesco_price,Sains_price
ASDA,7.0,kg,Ocean Spray Smooth Cranberry Sauce,20240129,free-from,False,7.0,7.0,7.0
ASDA,21.33,l,Oust All Purpose Descaler,20240129,household,False,22.67,21.33,22.0
ASDA,22.5,kg,Peperami Firestick,20240129,fresh_food,False,27.5,30.0,29.9
ASDA,12.5,kg,Princes Corned Beef,20240129,fresh_food,False,8.8,12.166666666666664,11.933333333333332
ASDA,1.0,l,Fanta Fruit Twist,20240129,drinks,False,1.0,2.2,2.45
ASDA,1.4,l,Fanta Lemon,20240129,drinks,False,1.0,1.9333333333333336,2.25
ASDA,1.4,l,Buxton Still Natural Mineral Water,20240129,drinks,False,0.6,0.7,0.5
ASDA,48.0,kg,Savlon Antiseptic Cream,20240129,health_products,False,73.0,42.0,57.65
ASDA,10.3,kg,Pukka Chicken & Bacon Slice,20240129,fresh_food,False,10.3,10.3,10.3
ASDA,11.5,kg,Ginsters Chicken Tikka Slice,20240129,fresh_food,False,7.3,11.5,7.4
ASDA,12.2,kg,Pringles Sour Cream & Onion Sharing Crisps,20240129,food_cupboard,False,12.2,11.7,10.0
ASDA,2.31,kg,Birds Eye Garden Peas,20240129,frozen,False,4.27,3.526666666666667,3.616666666666666
ASDA,25.0,kg,Cape Herb & Spice Rub Louisiana Cajun Seasoning,20240129,food_cupboard,False,34.9,35.0,25.0
ASDA,7.7,kg,Swizzels Luscious Lollies,20240129,food_cupboard,False,6.5,5.7,7.1
ASDA,1.0,l,Fanta Orange,20240129,drinks,False,1.0,2.24,2.24
ASDA,1.6,l,Fruit Shoot Orange Kids Juice Drink,20240129,drinks,False,1.9,2.1333333333333333,2.18
ASDA,3.4,l,Monster Energy Zero Sugar,20240129,drinks,False,2.8,3.0,2.95
ASDA,11.3,kg,Wagamama Katsu Curry Meal Kit,20240129,food_cupboard,False,15.8,18.42,14.5
ASDA,7.9,kg,Blue Dragon Hoisin & Garlic Stir Fry Sauce,20240129,food_cupboard,False,7.9,7.9,5.8
ASDA,9.5,kg,Pukka Vegan Chicken & Mushroom Pie,20240129,fresh_food,False,9.5,9.5,9.52
ASDA,14.7,kg,Bisto Reduced Salt Gravy Granules,20240129,food_cupboard,False,14.7,13.7,12.35
ASDA,22.5,kg,Peperami Chorizo,20240129,fresh_food,False,27.5,30.0,29.9
ASDA,1.6,l,Fruit Shoot Apple Kids Juice Drink,20240129,drinks,False,2.2,2.2,2.3
ASDA,7.9,kg,Blue Dragon Chow Mein Stir Fry Sauce,20240129,food_cupboard,False,7.9,7.9,5.8
ASDA,8.6,kg,Betty Crocker Peanut Butter Brownie Mix,20240129,food_cupboard,False,8.57,8.57,8.6
ASDA,4.2,kg,Heinz Lentil & Bacon Soup,20240129,food_cupboard,False,4.2,4.2,4.3
ASDA,6.3,kg,Aunt Bessie's Jam Roly Poly,20240129,frozen,False,8.3,6.7,6.7
ASDA,14.7,kg,Bisto Reduced Salt Chicken Gravy Granules,20240129,food_cupboard,False,14.7,16.3,14.7
ASDA,3.4,l,Coca-Cola Zero Sugar,20240129,fresh_food,False,1.0,2.4,2.6555555555555563
ASDA,4.2,kg,Heinz Spring Vegetable Soup,20240129,food_cupboard,False,4.2,4.2,3.0
ASDA,13.3,kg,Walkers Prawn Cocktail Multipack Crisps,20240129,food_cupboard,False,14.7,13.0,14.7
ASDA,5.5,kg,Arla Protein Strawberry Yogurt,20240129,fresh_food,False,7.2,6.2,5.5
ASDA,5.5,kg,Arla Protein Blueberry Yogurt,20240129,fresh_food,False,7.2,6.2,6.3
ASDA,3.1,l,Pepsi Max No Sugar Cola Bottle,20240129,free-from,False,1.0,1.7666666666666668,3.5
ASDA,11.8,l,Napolina Olive Oil,20240129,food_cupboard,False,12.0,10.9,11.1
ASDA,13.2,kg,M&M's Milk Chocolate Bites Pouch Bag,20240129,food_cupboard,False,14.8,11.9,14.4
ASDA,2.8,l,Tropicana Pressed Apple Fruit Juice,20240129,drinks,False,2.0,2.7,3.3
ASDA,13.33,l,Mr Muscle Oven Cleaner,20240129,household,False,13.33,10.0,13.33
ASDA,31.8,l,Cetaphil Gentle Skin Cleanser,20240129,health_products,False,31.8,46.6,28.6
ASDA,2.5,kg,Onken Natural Set Yogurt,20240129,fresh_food,False,2.8,3.2,4.3
ASDA,23.8,kg,Knorr Chicken Stock Cubes,20240129,food_cupboard,False,18.8,19.4,15.0
ASDA,13.0,kg,Bisto Best Pork Gravy Granules,20240129,food_cupboard,False,13.0,17.8,16.5
ASDA,1.6,l,Fruit Shoot Summer Fruits Kids Juice Drink,20240129,drinks,False,1.9,2.35,2.1
ASDA,3.3,l,Innocent Apple Juice,20240129,drinks,False,2.0,3.15,2.2
ASDA,8.06,kg,Rustlers All Day Breakfast Sausage Muffin,20240129,fresh_food,False,14.1,11.94,9.7
ASDA,13.3,kg,Walkers Ready Salted Multipack Crisps,20240129,food_cupboard,False,14.7,11.75,14.7
ASDA,11.5,kg,Ginsters Chicken & Mushroom Slice,20240129,fresh_food,False,7.3,11.5,7.4
ASDA,4.3,kg,Yeo Valley Organic Strawberry Yogurt,20240129,fresh_food,False,5.0,5.7,2.8
ASDA,13.3,kg,Maille Wholegrain Mustard,20240129,food_cupboard,False,13.3,13.1,13.1
ASDA,17.0,l,Filippo Berio Mild & Light Olive Oil,20240129,food_cupboard,False,17.2,17.1,13.0
ASDA,1.8,l,Ocean Spray Cranberry Classic Juice Drink,20240129,drinks,False,1.0,1.65,3.7
ASDA,20.0,kg,Felix Goody Bag Cat Treats Original Mix,20240129,pets,False,22.5,18.33,20.5
